filename,true_positives,false_positives,false_negatives,total_completed,total_initial,mean_iou,precision,recall,f_score
00400002_2024-02-11_1_7a3b8bcea3_processed_00505.txt,2,2,2,4,4,0.9999655838048187,0.5,0.5,0.5
00400002_2024-02-11_1_7a3b8bcea3_processed_00588.txt,3,2,2,5,5,0.9999872430702645,0.6,0.6,0.6
00400003_2023-12-17_2_f7d8a033d7_processed_00134.txt,1,2,3,3,4,0.9999719285421281,0.3333333333333333,0.25,0.28571428571428575
00400003_2023-12-17_2_f7d8a033d7_processed_00226.txt,1,2,1,3,2,0.9999301318380869,0.3333333333333333,0.5,0.4
00400003_2023-12-17_2_f7d8a033d7_processed_00382.txt,10,6,5,16,15,0.9998196267621262,0.625,0.6666666666666666,0.6451612903225806
00400003_2023-12-17_2_f7d8a033d7_processed_00545.txt,9,5,1,14,10,0.9999297603904258,0.6428571428571429,0.9,0.75
00400003_2023-12-17_2_f7d8a033d7_processed_00703.txt,3,3,2,6,5,0.9998373756838186,0.5,0.6,0.5454545454545454
00400003_2024-01-24_2_497bd10920_processed_00010.txt,6,1,1,7,7,0.9999169391656868,0.8571428571428571,0.8571428571428571,0.8571428571428571
00400003_2024-01-24_2_497bd10920_processed_00078.txt,3,6,4,9,7,0.9907821977556078,0.3333333333333333,0.42857142857142855,0.375
00400003_2024-01-24_2_497bd10920_processed_00523.txt,13,11,1,24,16,0.8669240040076904,0.5416666666666666,0.9285714285714286,0.6842105263157894
00400003_2024-01-24_2_497bd10920_processed_00941.txt,6,12,0,18,7,0.8569343378462722,0.3333333333333333,1,0.5
00400003_2024-01-24_2_497bd10920_processed_01003.txt,3,9,3,12,6,0.9968028245233378,0.25,0.5,0.3333333333333333
00420001_2024-05-11_2_60f8d03f3e_processed_00068.txt,5,5,3,10,8,0.9999242167235635,0.5,0.625,0.5555555555555556
00420001_2024-05-11_2_60f8d03f3e_processed_00378.txt,6,13,2,19,8,0.9998694010166008,0.3157894736842105,0.75,0.44444444444444436
00420001_2024-05-11_2_60f8d03f3e_processed_00381.txt,4,16,4,20,8,0.9998966573001417,0.2,0.5,0.28571428571428575
00420001_2024-05-11_2_60f8d03f3e_processed_00638.txt,2,3,2,5,4,0.9999316003313096,0.4,0.5,0.4444444444444445
00420001_2024-05-11_2_60f8d03f3e_processed_00663.txt,2,8,3,10,7,0.5849271296279871,0.2,0.4,0.26666666666666666
