item_id,language,form,item_kind,category,item_definition,english_gloss,uni_lemma,is_animate,is_small,is_big,is_bodypart,is_place,lexical_category,complexity_category,sense,alternative_forms,multiword,AoA
item_272,English (American),WS,word,furniture_rooms,drawer,drawer,drawer,0,0,1,0,0,nouns,,,,no,28
item_273,English (American),WS,word,furniture_rooms,dryer,dryer,dryer,0,0,1,0,0,nouns,,,,no,28
item_274,English (American),WS,word,furniture_rooms,garage,garage,garage,0,0,1,0,1,nouns,,,,no,27
item_276,English (American),WS,word,furniture_rooms,kitchen,kitchen,kitchen,0,0,1,0,1,nouns,,,,no,25
item_278,English (American),WS,word,furniture_rooms,oven,oven,oven,0,0,1,0,0,nouns,,,,no,27
item_28,English (American),WS,word,animals,duck,duck,duck,1,0,0,0,0,nouns,,,,no,18
item_280,English (American),WS,word,furniture_rooms,porch,porch,porch,0,0,1,0,1,nouns,,,,no,
item_281,English (American),WS,word,furniture_rooms,potty,potty,potty,0,0,1,0,0,nouns,,,,no,22
item_283,English (American),WS,word,furniture_rooms,refrigerator,refrigerator,refrigerator,0,0,1,0,0,nouns,,,,no,26
item_284,English (American),WS,word,furniture_rooms,room,room,room,0,0,1,0,1,nouns,,,,no,25
item_285,English (American),WS,word,furniture_rooms,shower,shower,shower,0,0,1,0,0,nouns,,,,no,25
item_286,English (American),WS,word,furniture_rooms,sink,sink,sink,0,0,1,0,0,nouns,,,,no,26
item_287,English (American),WS,word,furniture_rooms,sofa,sofa,couch,0,0,1,0,0,nouns,,,,no,30
item_288,English (American),WS,word,furniture_rooms,stairs,stairs,stairs,0,0,1,0,0,nouns,,,,no,25
item_289,English (American),WS,word,furniture_rooms,stove,stove,stove,0,0,1,0,0,nouns,,,,no,28
item_29,English (American),WS,word,animals,elephant,elephant,elephant,1,0,0,0,0,nouns,,,,no,23
item_290,English (American),WS,word,furniture_rooms,table,table,table,0,0,1,0,0,nouns,,,,no,24
item_291,English (American),WS,word,furniture_rooms,TV,TV,tv,0,0,1,0,0,nouns,,,,no,23
item_292,English (American),WS,word,furniture_rooms,window,window,window,0,0,1,0,0,nouns,,,,no,25
item_294,English (American),WS,word,outside,backyard,backyard,yard,0,0,1,0,1,nouns,,,,no,28
item_295,English (American),WS,word,outside,cloud,cloud,cloud,0,0,0,0,0,nouns,,,,no,26
item_296,English (American),WS,word,outside,flag,flag,flag,0,0,0,0,0,nouns,,,,no,27
item_297,English (American),WS,word,outside,flower,flower,flower,0,1,0,0,0,nouns,,,,no,22
item_298,English (American),WS,word,outside,garden,garden,garden,0,0,1,0,1,nouns,,,,no,29
item_299,English (American),WS,word,outside,grass,grass,grass,0,0,1,0,0,nouns,,,,no,24
item_30,English (American),WS,word,animals,fish,fish,fish,1,0,0,0,0,nouns,,animal,,no,20
item_300,English (American),WS,word,outside,hose,hose,hose,0,0,1,0,0,nouns,,,,no,28
item_301,English (American),WS,word,outside,ladder,ladder,ladder,0,0,1,0,0,nouns,,,,no,28
item_303,English (American),WS,word,outside,moon,moon,moon,0,0,1,0,0,nouns,,,,no,22
item_304,English (American),WS,word,outside,pool,pool,pool,0,0,1,0,1,nouns,,,,no,25
item_305,English (American),WS,word,outside,rain,rain,rain,0,0,1,0,0,nouns,,,,no,23
item_306,English (American),WS,word,outside,rock,rock,rock,0,1,0,0,0,nouns,,,,no,23
item_307,English (American),WS,word,outside,roof,roof,roof,0,0,1,0,0,nouns,,,,no,29
item_308,English (American),WS,word,outside,sandbox,sandbox,sandbox,0,1,0,0,0,nouns,,,,no,28
item_309,English (American),WS,word,outside,shovel,shovel,shovel,0,1,0,0,0,nouns,,,,no,27
item_31,English (American),WS,word,animals,frog,frog,frog,1,0,0,0,0,nouns,,,,no,23
item_310,English (American),WS,word,outside,sidewalk,sidewalk,sidewalk,0,0,1,0,1,nouns,,,,no,28
item_311,English (American),WS,word,outside,sky,sky,sky,0,0,1,0,0,nouns,,,,no,25
item_312,English (American),WS,word,outside,slide,slide,slide,0,0,1,0,0,nouns,,object,,no,24
item_313,English (American),WS,word,outside,snow,snow,snow,0,0,1,0,0,nouns,,,,no,25
item_314,English (American),WS,word,outside,snowman,snowman,snowman,0,0,1,0,0,nouns,,,,no,28
item_315,English (American),WS,word,outside,sprinkler,sprinkler,sprinkler,0,0,1,0,0,nouns,,,,no,29
item_316,English (American),WS,word,outside,star,star,star,0,0,1,0,0,nouns,,,,no,23
item_317,English (American),WS,word,outside,stick,stick,stick,0,1,0,0,0,nouns,,,,no,25
item_318,English (American),WS,word,outside,stone,stone,stone,0,1,0,0,0,nouns,,,,no,30
item_319,English (American),WS,word,outside,street,street,street,0,0,1,0,1,nouns,,,,no,26
item_32,English (American),WS,word,animals,giraffe,giraffe,giraffe,1,0,0,0,0,nouns,,,,no,25
item_320,English (American),WS,word,outside,sun,sun,sun,0,0,1,0,0,nouns,,,,no,23
item_321,English (American),WS,word,outside,swing,swing,swing,0,0,1,0,0,nouns,,object,,no,23
item_322,English (American),WS,word,outside,tree,tree,tree,0,0,1,0,0,nouns,,,,no,21
item_323,English (American),WS,word,outside,water,water,water,0,0,1,0,0,nouns,,not beverage,,no,21
item_324,English (American),WS,word,outside,wind,wind,wind,0,0,1,0,0,nouns,,,,no,27
item_33,English (American),WS,word,animals,goose,goose,goose,1,0,0,0,0,nouns,,,,no,28
item_34,English (American),WS,word,animals,hen,hen,hen,1,0,0,0,0,nouns,,,,no,
item_35,English (American),WS,word,animals,horse,horse,horse,1,0,0,0,0,nouns,,,,no,22
item_36,English (American),WS,word,animals,kitty,kitty,kitty,1,0,0,0,0,nouns,,,,no,19
item_37,English (American),WS,word,animals,lamb,lamb,lamb,1,0,0,0,0,nouns,,,,no,28
item_370,English (American),WS,word,people,person,person,person,1,0,0,0,0,other,,,,no,
item_38,English (American),WS,word,animals,lion,lion,lion,1,0,0,0,0,nouns,,,,no,24
item_39,English (American),WS,word,animals,monkey,monkey,monkey,1,0,0,0,0,nouns,,,,no,22
item_40,English (American),WS,word,animals,moose,moose,moose,1,0,0,0,0,nouns,,,,no,29
item_41,English (American),WS,word,animals,mouse,mouse,mouse,1,0,0,0,0,nouns,,,,no,24
item_42,English (American),WS,word,animals,owl,owl,owl,1,0,0,0,0,nouns,,,,no,24
item_43,English (American),WS,word,animals,penguin,penguin,penguin,1,0,0,0,0,nouns,,,,no,27
item_44,English (American),WS,word,animals,pig,pig,pig,1,0,0,0,0,nouns,,,,no,22
item_45,English (American),WS,word,animals,pony,pony,pony,1,0,0,0,0,nouns,,,,no,28
